Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
ராஜாஜி ராஜகோபாலன்,1.நாராயணபுரம்,-,-,-,தமிழ்,416,டிஸ்கவரி புக் பேலஸ்,2021,நாவல்,பிற,450,-,Paperback
"""",2.ராஜாஜி கட்டுரைகள்,-,-,-,தமிழ்,226,வானதி பதிப்பகம்,2012,கட்டுரை,-,75,-,Paperback
"""",3.கம்பரின் ஐந்து நூல்கள்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,2008,-,இலக்கியம்,45,-,Paperback
"""",4.ஆற்றின் மோகம்,-,-,-,தமிழ்,112,வானதி பதிப்பகம்,2003,சிறுகதை,-,25,-,Paperback
"""",5.ஸோக்ரதர்,-,-,-,தமிழ்,90,வானதி பதிப்பகம்,1971,"கட்டுரை,வரலாறு",-,35,-,Paperback
"""",6.ஆத்ம சிந்தனை,-,-,-,தமிழ்,96,வானதி பதிப்பகம்,1971,கட்டுரை,மெய்யியல்,45,-,Paperback
"""",7.திண்ணை ரசாயனம்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,கட்டுரை,-,20,-,Paperback
"""",8.உண்மைகள் உறங்குவதில்லை,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,-,-,60,-,Paperback
"""",9.ராஜாஜியின் ஜெயில் டைரி,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,"கட்டுரை,நாட்குறிப்பு / நினைவுக்குறிப்பு",-,130,-,Paperback
"""",10.ராஜாஜியின் கருத்துகள்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,கட்டுரை,-,70,-,Paperback
"""",11.பிள்ளையார் காப்பாற்றினார்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,சிறுகதை,-,35,-,Paperback
"""",12.நிரந்தரச் செல்வம்,-,-,-,தமிழ்,80,வானதி பதிப்பகம்,-,சிறுகதை,-,40,-,Paperback
"""",13.குழந்தைகளுக்கான குட்டிக் கதைகள் - II,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,சிறுவர் கதை,-,50,-,Paperback
"""",14ராஜாஜி கதைகள்,-,-,-,தமிழ்,170,வானதி பதிப்பகம்,-,சிறுகதை,-,85,-,Paperback
"""",15.வள்ளுவர் வாசகம்,-,-,-,தமிழ்,170,வானதி பதிப்பகம்,-,இலக்கியம்,-,85,-,Paperback
"""",16.சக்கரவர்த்தித் திருமகன் (இராமாயணம் ),-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,நாவல்,-,260,-,Paperback
லா. ச. ராமாமிருதம்,1.சிந்தா நதி (ரிதம் புக்),-,-,-,தமிழ்,240,Rhythm Book Distributers,2024,நாவல்,-,-,9789393724953,Paperback
"""",2.சிந்தா நதி (ஸ்ரீ செண்பகா பதிப்பகம்),-,-,-,தமிழ்,224,ஸ்ரீ செண்பகா பதிப்பகம்,2023,நாவல்,-,225,-,Paperback
"""",3.பஞ்சபூதக் கதைகள்,-,-,-,தமிழ்,-,எழுத்து பிரசுரம் (Tamil imprint of Zero Degree Publishing),2021,சிறுகதை,பிற,220,-,Paperback
"""",4.அவள்,-,-,-,தமிழ்,-,எழுத்து பிரசுரம் (Tamil imprint of Zero Degree Publishing),2021,-,-,730,-,Paperback
"""",5.சிந்தா நதி,-,-,-,தமிழ்,-,கௌரா பதிப்பகக் குழுமம்,2020,-,-,220,-,Paperback
"""",6.அபிதா,-,-,-,தமிழ்,-,எழுத்து பிரசுரம் (Tamil imprint of Zero Degree Publishing),2019,நாவல்,பிற,120,9789388860369,Paperback
"""",7.அபிதா (வளரி வெளியீடு),-,-,-,தமிழ்,-,வளரி வெளியீடு,2018,நாவல்,பிற,100,-,Paperback
"""",8.அபிதா (அன்னம்-அகரம்),-,-,-,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,2017,நாவல்,பிற,95,-,Paperback
"""",9.ஜனனி,-,-,-,தமிழ்,184,சந்தியா பதிப்பகம்,2017,சிறுகதை,,160,9789381343265,Paperback
"""",10.கேள்விக்குறி: லா. ச. ரா. சிறுகதைகள்,-,-,-,தமிழ்,416,வம்சி புக்ஸ்,2016,சிறுகதை,பிற,390,9789384598396,Paperback
"""",11.புத்ர (டிஸ்கவரி புக் பேலஸ்),-,-,-,தமிழ்,144,டிஸ்கவரி புக் பேலஸ்,2016,நாவல்,பிற,220,9789384301439,Paperback
"""",12.புத்ர (காலச்சுவடு பதிப்பகம்),-,-,-,தமிழ்,176,காலச்சுவடு,2016,நாவல்,பிற,220,9789352440078,Paperback
"""",13.பச்சைக்கனவு,-,-,பாரதிபாலன்,தமிழ்,400,நற்றிணை பதிப்பகம்,2015,சிறுகதை,பிற,300,9789382648796,Paperback
"""",14.புத்ர (நற்றிணை பதிப்பகம்),-,-,-,தமிழ்,160,நற்றிணை பதிப்பகம்,2014,நாவல்,பிற,190,9789382648475,Paperback
"""",15.தரிசனம்,-,-,-,தமிழ்,130,சந்தியா பதிப்பகம்,2013,கட்டுரை,பிற,120,9789381343562,Paperback
"""",16.அபிதா (நற்றிணை பதிப்பகம்,-,-,-,தமிழ்,104,நற்றிணை பதிப்பகம்,2013,நாவல்,பிற,100,9789382648482,Paperback
"""",17.லா. சா. ராமாமிருதம் கதைகள் (நான்காம் தொகுதி),-,-,-,தமிழ்,520,உயிர்மை பதிப்பகம்,2012,சிறுகதை,பிற,480,9789381095959,Paperback
"""",18.லா. சா. ராமாமிருதம் கதைகள் (மூன்றாம் தொகுதி),-,-,-,தமிழ்,560,உயிர்மை பதிப்பகம்,2012,சிறுகதை,பிற,400,9789381095942,Paperback
"""",19.லா. சா. ராமாமிருதம் கதைகள் (இரண்டாம் தொகுதி),-,-,-,தமிழ்,512,உயிர்மை பதிப்பகம்,2012,சிறுகதை,பிற,300,9789381095331,Paperback
"""",20.லா. சா. ராமாமிருதம் கதைகள் (முதல் தொகுதி,-,-,-,தமிழ்,512,உயிர்மை பதிப்பகம்,2012,சிறுகதை,பிற,300,9789381095270,Paperback
"""","21.புத்ர, அபிதா, சௌந்தர்ய...",-,-,-,தமிழ்,390,அன்னம் - அகரம் பதிப்பகம்,2012,நாவல்,பிற,250,-,Paperback
"""",22.கல் சிரிக்கிறது (சந்தியா பதிப்பகம்),-,-,-,தமிழ்,136,சந்தியா பதிப்பகம்,2012,நாவல்,பிற,100,9789381319987,Paperback
"""",23.பாற்கடல் (சந்தியா பதிப்பகம்),-,-,-,தமிழ்,262,சந்தியா பதிப்பகம்,2012,நாவல்,பிற,315,9789381343012,Paperback
"""",24.புத்ர (சந்தியா பதிப்பகம்),-,-,-,தமிழ்,160,சந்தியா பதிப்பகம்,2012,நாவல்,பிற,140,9789381343005,Paperback
"""",25.சிந்தா நதி (சந்தியா பதிப்பகம்),-,-,-,தமிழ்,240,சந்தியா பதிப்பகம்,2012,நாவல்,பிற,200,9789381319970,Paperback
"""",26.கல் சிரிக்கிறது (உயிர்மை பதிப்பகம்),-,-,-,தமிழ்,120,உயிர்மை பதிப்பகம்,2011,நாவல்,பிற,80,9789381095430,Paperback
"""",27.கேரளத்தில் எங்கோ (உயிர்மை பதிப்பகம்,-,-,-,தமிழ்,112,உயிர்மை பதிப்பகம்,2011,நாவல்,பிற,70,9789381095416,Paperback
"""",28.அபிதா (உயிர்மை பதிப்பகம்),-,-,-,தமிழ்,112,உயிர்மை பதிப்பகம்,2011,நாவல்,பிற,70,9789381095423,Paperback
"""",29.பிராயச்சித்தம்,-,-,-,தமிழ்,216,சந்தியா பதிப்பகம்,2011,நாவல்,பிற,200,9789381319932,Paperback
"""",30.அபிதா (காலச்சுவடு),-,-,-,தமிழ்,112,காலச்சுவடு,2009,நாவல்,பிற,150,9788189945909,Paperback
"""",31.சிந்தா நதி (வானதி பதிப்பகம்),-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,நாவல்,-,150,-,Paperback
"""",32.பிராயச்சித்தம் (உயிர்மை பதிப்பகம்),-,-,-,தமிழ்,-,உயிர்மை பதிப்பகம்,-,நாவல்,பிற,120,-,Paperback
"""",33.விளிம்பில்,-,-,-,தமிழ்,-,உயிர்மை பதிப்பகம்,-,நாவல்,பிற,80,-,Paperback
"""",34.லா.ச.ரா. நாவல்கள்,-,-,பேரா. சு. சண்முகசுந்தரம்,தமிழ்,-,காவ்யா பதிப்பகம் BM,-,நாவல்,-,700,-,Paperback
"""",35.அலைகள்,-,-,-,தமிழ்,-,அமராவதி,-,-,-,120,-,Paperback
"""",36.என் பிரியமுள்ள சிநேகிதனுக்கு,-,-,-,தமிழ்,-,அமராவதி,-,"கட்டுரை,கடிதம்",-,110,-,Paperback
