Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
Translation,12.மார்க்ஸும் மார்க்சியமும்,பீட்டர் வோர்ஸ்லி,பிரமிள்,-,தமிழ்,176,தமிழினி,2014,கட்டுரை,மார்க்சியம்,140,-,Paperback
Translation,4.புத்துயிர்ப்பு,லியோ டால்ஸ்டாய்,கரிச்சான் குஞ்சு,-,தமிழ்,-,பாரதி புத்தகாலயம்,2018,"நாவல்,மொழிபெயர்ப்பு",-,690,-,Hardcover
அழகிய பெரியவன்,1.படிகப் பாடல்,-,-,-,தமிழ்,148,பரிசல்,2025,கவிதை,-,170,9.79E+12,Paperback
"""",2.அழகிய பெரியவன் குறுநாவல்கள்,-,-,-,தமிழ்,-,நீலம் பதிப்பகம்,2024,நாவல்,-,200,9.79E+12,Paperback
"""",4.தகப்பன் கொடி,-,-,-,தமிழ்,246,நீலம் பதிப்பகம்,2023,நாவல்,-,300,9.79E+12,Paperback
"""",5.வல்லிசை,-,-,-,தமிழ்,384,நீலம் பதிப்பகம்,2023,நாவல்,-,470,9.79E+12,Paperback
"""",6.சின்னக்குடை,-,-,-,தமிழ்,144,நீலம் பதிப்பகம்,2023,நாவல்,-,180,9.79E+12,Paperback
"""",7.யாம் சில அரிசி வேண்டினோம்,-,-,-,தமிழ்,200,நீலம் பதிப்பகம்,2023,நாவல்,-,250,9.79E+12,Paperback
"""",9.அம்மா உழைப்பதை நிறுத்திக் கொண்டார்,-,-,-,தமிழ்,-,நற்றிணை பதிப்பகம்,2018,சிறுகதை,தலித்தியம்,250,9.79E+12,Paperback
"""",10.மறைத்துப் பேச என்ன இருக்கு?,-,-,-,தமிழ்,164,நியூசெஞ்சுரி புக் ஹவுஸ்,2017,கட்டுரை,"தலித்தியம்,இலக்கியம்",135,9.79E+12,Paperback
"""",11.ஞாபக விலங்கு,-,-,-,தமிழ்,120,கருப்புப் பிரதிகள்,2016,கவிதை,-,90,9.79E+12,Paperback
