"Title","URL handle","Description","Vendor","Published on online store","Status","Image Src","Inventory quantity","Price","Price / International","Compare-at price","Tags"
"Pookkuzhi","pookkuzhi","<p>
  <strong>Book Title:</strong> பூக்குழி (Pookkuzhi)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2014<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 160<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9789382033172
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AA%E0%AF%82%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%B4%E0%AE%BF_jpg.webp","","200","","","Kalachuvadu, Perumal Murugan, Novel, tamil-books"
"Arthanari","arthanari","<p>
  <strong>Book Title:</strong> அர்த்தநாரி (Arthanari)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2014<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 192<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9789382033875
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%85%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%A8%E0%AE%BE%E0%AE%B0%E0%AE%BF_jpg.webp","","200","","","Kalachuvadu, Perumal Murugan, Novel, tamil-books"
"Aalavayan","aalavayan","<p>
  <strong>Book Title:</strong> ஆலவாயன் (Aalavayan)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2014<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 192<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9789382033882
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%86%E0%AE%B2%E0%AE%B5%E0%AE%BE%E0%AE%AF%E0%AE%A9%E0%AF%8D_jpg.webp","","240","","","Kalachuvadu, Perumal Murugan, Novel, tamil-books"
"Thiruchengode","thiruchengode","<p>
  <strong>Book Title:</strong> திருச்செங்கோடு (Thiruchengode)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/natrinai-padhipagam"" title=""natrinai-padhipagam"">
    நற்றிணை பதிப்பகம் (Natrinai Padhipagam)
  </a><br>
  <strong>Year:</strong> 2013<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">
    சிறுகதை (Short Story)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 144<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9789382648697
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%86%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%9F%E0%AF%81_jpg.webp","","125","","","Natrinai Padhipagam, Perumal Murugan, Short Story, tamil-books"
"Aalandap Patchi","aalandap-patchi","<p>
  <strong>Book Title:</strong> ஆளண்டாப் பட்சி (Aalandap Patchi)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2012<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 248<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9789381969557
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%86%E0%AE%B3%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%BF_jpg.webp","","300","","","Kalachuvadu, Perumal Murugan, Novel, tamil-books"
"Nizhalmuttrathu Ninaivugal","nizhalmuttrathu-ninaivugal","<p>
  <strong>Book Title:</strong> நிழல்முற்றத்து நினைவுகள் (Nizhalmuttrathu Ninaivugal)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kayal-kavin"" title=""kayal-kavin"">
    கயல் கவின் (Kayal Kavin)
  </a><br>
  <strong>Year:</strong> 2012<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/tanvaralaru"" title=""tanvaralaru"">
    தன்வரலாறு (Tanvaralaru)
  </a><br>
  <strong>Subject:</strong> சினிமா (Cinema)<br>
  <strong>No. of pages:</strong> 192<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%A8%E0%AE%BF%E0%AE%B4%E0%AE%B2%E0%AF%8D%E0%AE%AE%E0%AF%81%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81_%E0%AE%A8%E0%AE%BF%E0%AE%A9%E0%AF%88%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D_jpg.webp","","130","","","Kayal Kavin, Perumal Murugan, Tanvaralaru, Cinema, tamil-books"
"Vankuruviyin Koodu","vankuruviyin-koodu","<p>
  <strong>Book Title:</strong> வான்குருவியின் கூடு (Vankuruviyin Koodu)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/natrinai-padhipagam"" title=""natrinai-padhipagam"">
    நற்றிணை பதிப்பகம் (Natrinai Padhipagam)
  </a><br>
  <strong>Year:</strong> 2012<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/esaay"" title=""esaay"">
    கட்டுரை (Esaay)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 112<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9788192366876
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%B5%E0%AE%BE%E0%AE%A9%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%82%E0%AE%9F%E0%AF%81_(%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%9F%E0%AF%81)_jpg.webp","","120","","","Natrinai Padhipagam, Perumal Murugan, Esaay, tamil-books"
"Eruveyil","eruveyl","<p>
  <strong>Book Title:</strong> ஏறுவெயில் (Eruveyil)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2008<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> விளிம்புநிலை மக்கள் (Vilimbunilai Makkal)<br>
  <strong>No. of pages:</strong> 224<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9788189945411
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%8F%E0%AE%B1%E0%AF%81%E0%AE%B5%E0%AF%86%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D_jpg.webp","","280","","","Kalachuvadu, Perumal Murugan, Novel, Vilimbunilai Makkal, tamil-books"
"Peekathaigal","peekathaigal","<p>
  <strong>Book Title:</strong> பீக்கதைகள் (Peekathaigal)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/adaiyaalam-pathippagam"" title=""adaiyaalam-pathippagam"">
    அடையாளம் பதிப்பகம் (Adaiyaalam Pathippagam)
  </a><br>
  <strong>Year:</strong> 2006<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">
    சிறுகதை (Short Story)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 136<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AA%E0%AF%80%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%A4%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AF%8D_png.webp","","60","","","Adaiyaalam Pathippagam, Perumal Murugan, Short Story, tamil-books"
"Nizhalmuttram","nizhalmuttram","<p>
  <strong>Book Title:</strong> நிழல்முற்றம் (Nizhalmuttram)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/perumal-murugan"" title=""perumal-murugan"">
    பெருமாள் முருகன் (Perumal Murugan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kaalachuvadu"" title=""kaalachuvadu"">
    காலச்சுவடு (Kalachuvadu)
  </a><br>
  <strong>Year:</strong> 2005<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 136<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 9788189359126
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%A8%E0%AE%BF%E0%AE%B4%E0%AE%B2%E0%AF%8D%E0%AE%AE%E0%AF%81%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%AE%E0%AF%8D_jpg.webp","","190","","","Kalachuvadu, Perumal Murugan, Novel, tamil-books"
