"Title","URL handle","Description","Vendor","Published on online store","Status","Image Src","Inventory quantity","Price","Price / International","Compare-at price","Tags"
"marksum-marksiyamum","marksum-marksiyamum","<p>
  <strong>Book Title:</strong> மார்க்ஸும் மார்க்சியமும்<br>
  <strong>Original Author:</strong> <a href=""https://dodobooks.in/collections/peettar-vorsli"" title=""peettar-vorsli"">பீட்டர் வோர்ஸ்லி (peettar-vorsli)</a><br>
  <strong>Translator:</strong> <a href=""https://dodobooks.in/collections/piramil"" title=""piramil"">பிரமிள் (piramil)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/thamizhini"" title=""thamizhini"">தமிழினி (thamizhini)</a><br>
  <strong>Year:</strong> 2014<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/katturai"" title=""katturai"">கட்டுரை (katturai)</a><br>
  <strong>Subject:</strong> மார்க்சியம்<br>
  <strong>No. of pages:</strong> 176<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%B8%E0%AF%81%E0%AE%AE%E0%AF%8D_%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%81%E0%AE%AE%E0%AF%8D_jpg.webp","","140","","","piramil, thamizhini, katturai, tamil-books"
"puththuyirppu","puththuyirppu","<p>
  <strong>Book Title:</strong> புத்துயிர்ப்பு<br>
  <strong>Original Author:</strong> <a href=""https://dodobooks.in/collections/liyo-talstaay"" title=""liyo-talstaay"">லியோ டால்ஸ்டாய் (liyo-talstaay)</a><br>
  <strong>Translator:</strong> <a href=""https://dodobooks.in/collections/karichan-kunju"" title=""karichan-kunju"">கரிச்சான் குஞ்சு (karichan-kunju)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/barathi-buthagalayam"" title=""barathi-buthagalayam"">பாரதி புத்தகாலயம் (barathi-buthagalayam)</a><br>
  <strong>Year:</strong> 2018<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல், மொழிபெயர்ப்பு (novel, translation)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Hardcover<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","","","690","","","karichan-kunju, barathi-buthagalayam, novel, translation, tamil-books"
"patikap-paatal","patikap-paatal","<p>
  <strong>Book Title:</strong> படிகப் பாடல்<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/parisal"" title=""parisal"">பரிசல் (parisal)</a><br>
  <strong>Year:</strong> 2025<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/kavithai"" title=""kavithai"">கவிதை (kavithai)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 148<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AA%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AE%B2%E0%AF%8D_jpg.webp","","170","","","azhagiya-periyavan, parisal, kavithai, tamil-books"
"azhakiya-periyavan-kurunavalkal","azhakiya-periyavan-kurunavalkal","<p>
  <strong>Book Title:</strong> அழகிய பெரியவன் குறுநாவல்கள்<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/neelam-pathippagam"" title=""neelam-pathippagam"">நீலம் பதிப்பகம் (neelam-pathippagam)</a><br>
  <strong>Year:</strong> 2024<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல் (novel)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%BF%E0%AE%AF_%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%B5%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%B1%E0%AF%81%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D_jpg.webp","","200","","","azhagiya-periyavan, neelam-pathippagam, novel, tamil-books"
"thakappan-koti","thakappan-koti","<p>
  <strong>Book Title:</strong> தகப்பன் கொடி<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/neelam-pathippagam"" title=""neelam-pathippagam"">நீலம் பதிப்பகம் (neelam-pathippagam)</a><br>
  <strong>Year:</strong> 2023<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல் (novel)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 246<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%A4%E0%AE%95%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%8A%E0%AE%9F%E0%AE%BF_(%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AE%AE%E0%AF%8D)_jpg.webp","","300","","","azhagiya-periyavan, neelam-pathippagam, novel, tamil-books"
"vallicai","vallicai","<p>
  <strong>Book Title:</strong> வல்லிசை<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/neelam-pathippagam"" title=""neelam-pathippagam"">நீலம் பதிப்பகம் (neelam-pathippagam)</a><br>
  <strong>Year:</strong> 2023<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல் (novel)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 384<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%B5%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%BF%E0%AE%9A%E0%AF%88_(%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AE%AE%E0%AF%8D)_jpg.webp","","470","","","azhagiya-periyavan, neelam-pathippagam, novel, tamil-books"
"chinnakkutai","chinnakkutai","<p>
  <strong>Book Title:</strong> சின்னக்குடை<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/neelam-pathippagam"" title=""neelam-pathippagam"">நீலம் பதிப்பகம் (neelam-pathippagam)</a><br>
  <strong>Year:</strong> 2023<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல் (novel)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 144<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%9A%E0%AE%BF%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AF%88_(%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AE%AE%E0%AF%8D)_jpg.webp","","180","","","azhagiya-periyavan, neelam-pathippagam, novel, tamil-books"
"yam-chila-arici-ventinom","yam-chila-arici-ventinom","<p>
  <strong>Book Title:</strong> யாம் சில அரிசி வேண்டினோம்<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/neelam-pathippagam"" title=""neelam-pathippagam"">நீலம் பதிப்பகம் (neelam-pathippagam)</a><br>
  <strong>Year:</strong> 2023<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">நாவல் (novel)</a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 200<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AF%E0%AE%BE%E0%AE%AE%E0%AF%8D_%E0%AE%9A%E0%AE%BF%E0%AE%B2_%E0%AE%85%E0%AE%B0%E0%AE%BF%E0%AE%9A%E0%AE%BF_%E0%AE%B5%E0%AF%87%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%A9%E0%AF%8B%E0%AE%AE%E0%AF%8D_(%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AE%AE%E0%AF%8D)_jpg.webp","","250","","","azhagiya-periyavan, neelam-pathippagam, novel, tamil-books"
"amma-uzhaippathai-niruththik-kontar","amma-uzhaippathai-niruththik-kontar","<p>
  <strong>Book Title:</strong> அம்மா உழைப்பதை நிறுத்திக் கொண்டார்<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/natrinai-padhipagam"" title=""natrinai-padhipagam"">நற்றிணை பதிப்பகம் (natrinai-padhipagam)</a><br>
  <strong>Year:</strong> 2018<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">சிறுகதை (short-story)</a><br>
  <strong>Subject:</strong> தலித்தியம்<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BE_%E0%AE%89%E0%AE%B4%E0%AF%88%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%A4%E0%AF%88_%E0%AE%A8%E0%AE%BF%E0%AE%B1%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AF%8A%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%B0%E0%AF%8D_jpg.webp","","250","","","azhagiya-periyavan, natrinai-padhipagam, short-story, tamil-books"
"maraiththup-peca-enna-irukku","maraiththup-peca-enna-irukku","<p>
  <strong>Book Title:</strong> மறைத்துப் பேச என்ன இருக்கு?<br>
  <strong>Author:</strong> <a href=""https://dodobooks.in/collections/azhagiya-periyavan"" title=""azhagiya-periyavan"">அழகிய பெரியவன் (azhagiya-periyavan)</a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/new-century-book-house"" title=""new-century-book-house"">நியூசெஞ்சுரி புக் ஹவுஸ் (new-century-book-house)</a><br>
  <strong>Year:</strong> 2017<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/katturai"" title=""katturai"">கட்டுரை (katturai)</a><br>
  <strong>Subject:</strong> தலித்தியம்,இலக்கியம்<br>
  <strong>No. of pages:</strong> 164<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> Paperback<br>
  <strong>ISBN:</strong> 9.79E+12
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%AE%E0%AE%B1%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%87%E0%AE%9A_%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9_%E0%AE%87%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81_jpg.webp","","135","","","azhagiya-periyavan, new-century-book-house, katturai, tamil-books"
