"Title","URL handle","Description","Vendor","Published on online store","Status","Image Src","Inventory quantity","Price","Price / International","Compare-at price","Tags"
"Romapuri Pandian","romapuri-pandian","<p>
  <strong>Book Title:</strong> ரோமாபுரி பாண்டியன் (Romapuri Pandian)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/thirumagal-nilayam"" title=""Thirumagal Nilayam"">
    திருமகள் நிலையம் (Thirumagal Nilayam)
  </a><br>
  <strong>Year:</strong> 1956<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> வரலாறு, புனைவு (Varalaru, Punaiவு)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Romapuri_Pandian.jpg/330px-Romapuri_Pandian.jpg","10","250","","","Thirumagal Nilayam, M. Karunanidhi, Novel, வரலாறு, புனைவு, tamil-books"
"Thenpandi Singam","thenpandi-singam","<p>
  <strong>Book Title:</strong> தென்பாண்டி சிங்கம் (Thenpandi Singam)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/thirumagal-nilayam"" title=""Thirumagal Nilayam"">
    திருமகள் நிலையம் (Thirumagal Nilayam)
  </a><br>
  <strong>Year:</strong> 1958<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> வரலாறு, புனைவு (Varalaru, Punaiவு)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Thenpandi_Singam.jpg/330px-Thenpandi_Singam.jpg","10","300","","","Thirumagal Nilayam, M. Karunanidhi, Novel, வரலாறு, புனைவு, tamil-books"
"Velli Kizhamai","velli-kizhamai","<p>
  <strong>Book Title:</strong> வெள்ளி கிழமை (Velli Kizhamai)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/poongodi-pathippagam"" title=""Poongodi Pathippagam"">
    பூங்கொடி பதிப்பகம் (Poongodi Pathippagam)
  </a><br>
  <strong>Year:</strong> 1960<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-stories"" title=""Short Stories"">
    சிறுகதைகள் (Sirukathaigal)
  </a><br>
  <strong>Subject:</strong> சமூகம் (Samugam)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://tamilbooks.com/wp-content/uploads/2018/01/Velli-Kizhamai.jpg","10","150","","","Poongodi Pathippagam, M. Karunanidhi, Short Stories, சமூகம், tamil-books"
"Kuraloviam","kuraloviam","<p>
  <strong>Book Title:</strong> குறளோவியம் (Kuraloviam)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/anbalagan-pathippagam"" title=""Anbalagan Pathippagam"">
    அன்பழகன் பதிப்பகம் (Anbalagan Pathippagam)
  </a><br>
  <strong>Year:</strong> 1964<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/literature"" title=""Literature"">
    இலக்கியம் (Ilakkiyam)
  </a><br>
  <strong>Subject:</strong> திருக்குறள் உரை (Thirukkural Urai)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://www.periyarbooks.in/image/cache/catalog/product-308/kuraloviyam-1000x1000.jpg","10","400","","","Anbalagan Pathippagam, M. Karunanidhi, Literature, திருக்குறள் உரை, tamil-books"
"Kayalvizhi","kayalvizhi","<p>
  <strong>Book Title:</strong> கயல்விழி (Kayalvizhi)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/poongodi-pathippagam"" title=""Poongodi Pathippagam"">
    பூங்கொடி பதிப்பகம் (Poongodi Pathippagam)
  </a><br>
  <strong>Year:</strong> 1966<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> வரலாறு, புனைவு (Varalaru, Punaiவு)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://tamilbooks.com/wp-content/uploads/2018/01/Kayalvizhi.jpg","10","280","","","Poongodi Pathippagam, M. Karunanidhi, Novel, வரலாறு, புனைவு, tamil-books"
"Manthiri Kumari","manthiri-kumari","<p>
  <strong>Book Title:</strong> மந்திரி குமாரி (Manthiri Kumari)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/poongodi-pathippagam"" title=""Poongodi Pathippagam"">
    பூங்கொடி பதிப்பகம் (Poongodi Pathippagam)
  </a><br>
  <strong>Year:</strong> 1967<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> சமூகம், அரசியல் (Samugam, Arasiyal)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://tamilbooks.com/wp-content/uploads/2018/01/Manthiri-Kumari.jpg","10","220","","","Poongodi Pathippagam, M. Karunanidhi, Novel, சமூகம், அரசியல், tamil-books"
"Ponnar Shankar","ponnar-shankar","<p>
  <strong>Book Title:</strong> பொன்னர் சங்கர் (Ponnar Shankar)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kalaignar-pathippagam"" title=""Kalaignar Pathippagam"">
    கலைஞர் பதிப்பகம் (Kalaignar Pathippagam)
  </a><br>
  <strong>Year:</strong> 1978<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> வரலாறு, நாட்டுப்புறவியல் (Varalaru, Nattupuraviyal)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Ponnar_Shankar_book_cover.jpg/220px-Ponnar_Shankar_book_cover.jpg","10","350","","","Kalaignar Pathippagam, M. Karunanidhi, Novel, வரலாறு, நாட்டுப்புறவியல், tamil-books"
"Neethi Devan Mayakkam","neethi-devan-mayakkam","<p>
  <strong>Book Title:</strong> நீதி தேவன் மயக்கம் (Neethi Devan Mayakkam)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kalaignar-pathippagam"" title=""Kalaignar Pathippagam"">
    கலைஞர் பதிப்பகம் (Kalaignar Pathippagam)
  </a><br>
  <strong>Year:</strong> 1980<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""Novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> சமூகம், அரசியல் (Samugam, Arasiyal)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://www.kavithalayaa.in/image/cache/catalog/product-100/neethi-devan-mayakkam-600x600.jpg","10","200","","","Kalaignar Pathippagam, M. Karunanidhi, Novel, சமூகம், அரசியல், tamil-books"
"Sanga Thamizh","sanga-thamizh","<p>
  <strong>Book Title:</strong> சங்கத் தமிழ் (Sanga Thamizh)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kalaignar-pathippagam"" title=""Kalaignar Pathippagam"">
    கலைஞர் பதிப்பகம் (Kalaignar Pathippagam)
  </a><br>
  <strong>Year:</strong> 1982<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/literature"" title=""Literature"">
    இலக்கியம் (Ilakkiyam)
  </a><br>
  <strong>Subject:</strong> சங்க இலக்கியம் (Sanga Ilakkiyam)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://www.periyarbooks.in/image/cache/catalog/product-310/sanga-thamizh-1000x1000.jpg","10","450","","","Kalaignar Pathippagam, M. Karunanidhi, Literature, சங்க இலக்கியம், tamil-books"
"Thirukkural Urai","thirukkural-urai","<p>
  <strong>Book Title:</strong> திருக்குறள் உரை (Thirukkural Urai)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/m-karunanidhi"" title=""M. Karunanidhi"">
    மு. கருணாநிதி (M. Karunanidhi)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/kalaignar-pathippagam"" title=""Kalaignar Pathippagam"">
    கலைஞர் பதிப்பகம் (Kalaignar Pathippagam)
  </a><br>
  <strong>Year:</strong> 1988<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/literature"" title=""Literature"">
    இலக்கியம் (Ilakkiyam)
  </a><br>
  <strong>Subject:</strong> திருக்குறள் உரை (Thirukkural Urai)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://www.periyarbooks.in/image/cache/catalog/product-309/thirukkural-urai-1000x1000.jpg","10","500","","","Kalaignar Pathippagam, M. Karunanidhi, Literature, திருக்குறள் உரை, tamil-books"
