"Title","URL handle","Description","Vendor","Published on online store","Status","Image Src","Inventory quantity","Price","Price / International","Compare-at price","Tags"
"Mangiyathor Nilavinile","mangiyathor-nilavinile","<p>
  <strong>Book Title:</strong> மங்கியதோர் நிலவினிலே (Mangiyathor Nilavinile)<br>
  <strong>Translator:</strong>
  <a href=""https://dodobooks.in/collections/ti-sa-raju"" title=""ti-sa-raju"">
   தி.சா. ராஜு (ti-sa-raju)
  </a><br>
  <strong>Orginal Author:</strong>
  <a href=""https://dodobooks.in/collections/gurdayal-singh"" title=""gurdayal-singh"">
   குர்தயாள் சிங் (gurdayal-singh)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/national-book-trust"" title=""national-book-trust"">
    நேஷனல் புக் டிரஸ்ட் (national-book-trust)
  </a><br>
  <strong>Year:</strong> -<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
   நாவல் (novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 207<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 8123706758
</p>","dodobooks","TRUE","draft","https://www-img1.marinabooks.com/static/img/thumb/ncbh/3_0916.jpg","10","45","","","national-book-trust, ti-sa-raju, gurdayal-singh, novel"
"Idhuthaan Nam Vaazhkkai","idhuthaan-nam-vaazhkkai","<p>
  <strong>Book Title:</strong> இதுதான் நம் வாழ்க்கை (Idhuthaan Nam Vaazhkkai)<br>
  <strong>Translator:</strong>
  <a href=""https://dodobooks.in/collections/ti-sa-raju"" title=""ti-sa-raju"">
   தி.சா. ராஜு (ti-sa-raju)
  </a><br>
  <strong>Orginal Author:</strong>
  <a href=""https://dodobooks.in/collections/daleep-kaur-tiwana"" title=""daleep-kaur-tiwana"">
   தலீப் கௌர் டிவானா (daleep-kaur-tiwana)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/national-book-trust"" title=""national-book-trust"">
    நேஷனல் புக் டிரஸ்ட் (national-book-trust)
  </a><br>
  <strong>Year:</strong> -<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/translation"" title=""translation"">
   மொழிபெயர்ப்பு (translation), பெண்கள் (pengal)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 89<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> 8123700415
</p>","dodobooks","TRUE","draft","https://www.sramakrishnan.com/wp-content/uploads/2022/01/IMG_20220104_161552_2.jpg","10","21","","","national-book-trust, ti-sa-raju, daleep-kaur-tiwana, translation"
"Pesumpada Mudhalvar","pesumpada-mudhalvar","<p>
  <strong>Book Title:</strong> பேசும்பட முதல்வர் (Pesumpada Mudhalvar)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/thamizh-magan"" title=""thamizh-magan"">
   தமிழ்மகன் (Thamizh Magan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/minnangadi"" title=""minnangadi"">
    மின்னங்காடி (Minnangadi)
  </a><br>
  <strong>Year:</strong> 2022<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/esaay"" title=""esaay"">
   கட்டுரை (Esaay)
  </a><br>
  <strong>Subject:</strong> சினிமா (Cinema)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://s3.ap-south-1.amazonaws.com/storage.commonfolks.in/docs/products/images_full/pesumpada-muthalvar_FrontImage_789.JPG","1","130","","","Minnangadi, Thamizh Magan, Esaay, Cinema, tamil-books"
"Sankar Mudhal Shankar Varai","sankar-mudhal-shankar-varai","<p>
  <strong>Book Title:</strong> சங்கர் முதல் ஷங்கர் வரை (Sankar Mudhal Shankar Varai)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/thamizh-magan"" title=""thamizh-magan"">
   தமிழ்மகன் (Thamizh Magan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/uyirmai-pathippagam"" title=""uyirmai-pathippagam"">
    உயிர்மை பதிப்பகம் (Uyirmai Pathippagam)
  </a><br>
  <strong>Year:</strong> 2017<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/tanvaralaru"" title=""tanvaralaru"">
   தன்வரலாறு (Tanvaralaru)
  </a><br>
  <strong>Subject:</strong> சினிமா (Cinema)<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ் (Tamil)<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://s3.ap-south-1.amazonaws.com/storage.commonfolks.in/docs/products/images_full/sankar-muthal-shankar-varai-minnangadi_FrontImage_482.JPG","1","150","","","Uyirmai Pathippagam, Thamizh Magan, Tanvaralaru, Cinema, tamil-books"
"Sollappadatha Kathaigal","sollappadatha-kathaigal","<p>
  <strong>Book Title:</strong> சொல்லப்படாத கதைகள் (Sollappadatha Kathaigal)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/jananesan"" title=""jananesan"">
    ஜனநேசன் (Jananesan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/barathi-buthagalayam"" title=""barathi-buthagalayam"">
    பாரதி புத்தகாலயம் (Barathi Puthagalayam)
  </a><br>
  <strong>Year:</strong> 2023<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">
    சிறுகதை (Short Story)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 96<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://m.media-amazon.com/images/I/61Jecf7bA9L._UF1000,1000_QL80_.jpg","","110","","","Barathi Puthagalayam, Jananesan, Short Story, tamil-books"
"ஏலோ…லம்","elo---lam","<p>
  <strong>Book Title:</strong> ஏலோ…லம் (Elo...lam)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/jananesan"" title=""jananesan"">
    ஜனநேசன் (Jananesan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/barathi-buthagalayam"" title=""barathi-buthagalayam"">
    பாரதி புத்தகாலயம் (Barathi Puthagalayam)
  </a><br>
  <strong>Year:</strong> 2022<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://assets2.panuval.com/image/cache/catalog/1033/yelolam-10020427-1687x2560.jpeg","","360","","","Barathi Puthagalayam, Jananesan, Novel, tamil-books"
"சொல்லவே முடியாத கதைகளின் கதை","sollave-mudiyatha-kathaigalin-kathai","<p>
  <strong>Book Title:</strong> சொல்லவே முடியாத கதைகளின் கதை (Sollave Mudiyatha Kathaigalin Kathai)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/aadhavan-dheetchanya"" title=""aadhavan-dheetchanya"">
    ஆதவன் தீட்சண்யா (Aadhavan Dheetchanya)
  </a><br>
  <strong>Editor:</strong>
  <a href=""https://dodobooks.in/collections/odai-po-durai-arasan"" title=""odai-po-durai-arasan"">
    ஓடை பொ. துரை அரசன் (Odai Po. Durai Arasan)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/barathi-buthagalayam"" title=""barathi-buthagalayam"">
    பாரதி புத்தகாலயம் (Barathi Puthagalayam)
  </a><br>
  <strong>Year:</strong> 2010<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">
    சிறுகதை (Short Story)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 128<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://samuvelraja.github.io/prodfilter/upscaled/%E0%AE%9A%E0%AF%8A%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%B5%E0%AF%87_%E0%AE%AE%E0%AF%81%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%A4_%E0%AE%95%E0%AE%A4%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%A4%E0%AF%88_jpg.webp","","130","","","Barathi Puthagalayam, Aadhavan Dheetchanya, Odai Po. Durai Arasan, Short Story, tamil-books"
"வாய்க்கால்","vaaykkal","<p>
  <strong>Book Title:</strong> வாய்க்கால் (Vaaykkal)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/poomani"" title=""poomani"">
    பூமணி (Poomani)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/discovery-book-palace"" title=""discovery-book-palace"">
    டிஸ்கவரி புக் பேலஸ் (Discovery Book Palace)
  </a><br>
  <strong>Year:</strong> 2018<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/novel"" title=""novel"">
    நாவல் (Novel)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> -<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://m.media-amazon.com/images/I/41vTn7O-s5L._AC_UF1000,1000_QL80_.jpg","","80","","","Discovery Book Palace, Poomani, Novel, tamil-books"
"வயிறுகள்","vayirugal","<p>
  <strong>Book Title:</strong> வயிறுகள் (Vayirugal)<br>
  <strong>Author:</strong>
  <a href=""https://dodobooks.in/collections/poomani"" title=""poomani"">
    பூமணி (Poomani)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/natrinai-padhipagam"" title=""natrinai-padhipagam"">
    நற்றிணை பதிப்பகம் (Natrinai Padhipagam)
  </a><br>
  <strong>Year:</strong> -<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/short-story"" title=""short-story"">
    சிறுகதை (Short Story)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 96<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","","","80","","","Natrinai Padhipagam, Poomani, Short Story, tamil-books"
"யாரோவொருவர் அங்கே நடுங்கிக்கொண்டிருகிறார்","yaarovoruvar-ange-nadungikkondirukiraar","<p>
  <strong>Book Title:</strong> யாரோவொருவர் அங்கே நடுங்கிக்கொண்டிருகிறார் (Yaarovoruvar Ange Nadungikkondirukiraar)<br>
  <strong>Original Author:</strong>
  <a href=""https://dodobooks.in/collections/alejandra-pizarnik"" title=""alejandra-pizarnik"">
   அலெயேந்திரா பிஸார்நிக் (Alejandra Pizarnik)
  </a><br>
  <strong>Translator:</strong>
  <a href=""https://dodobooks.in/collections/samayavel"" title=""samayavel"">
   சமயவேல் (Samayavel)
  </a><br>
  <strong>Publisher:</strong>
  <a href=""https://dodobooks.in/collections/tamizhveli"" title=""tamizhveli"">
    தமிழ்வெளி (Tamizhveli)
  </a><br>
  <strong>Year:</strong> 2022<br>
  <strong>Category:</strong>
  <a href=""https://dodobooks.in/collections/kavithaigal"" title=""kavithaigal"">
    கவிதை,மொழிபெயர்ப்பு (Kavithaigal, Translation)
  </a><br>
  <strong>Subject:</strong> -<br>
  <strong>No. of pages:</strong> 256<br>
  <strong>Language:</strong> தமிழ்<br>
  <strong>Book format:</strong> paperback<br>
  <strong>ISBN:</strong> -
</p>","dodobooks","TRUE","draft","https://s3.ap-south-1.amazonaws.com/storage.commonfolks.in/docs/products/images_full/yaarovoruvar-ange-nadungikondirukkiraar_FrontImage_254.jpg","","380","","","Tamizhveli, Alejandra Pizarnik, Samayavel, Kavithaigal, Translation, tamil-books"
